recipe_name,recipe_CompletePicture_url,recipeProcess_pictures_url,recipe_process,recipe_stuff,recipe_stuff_count,recipe_StuffCountUnit
시금치 우유 소스와 그린매쉬드포테이토,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00089_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_5.png']","['1. 시금치는 끓는 소금물에 데쳐 찬물에 헹구어 물기를 짜고 우유를 넣고 블렌더에 곱게 갈아 체에 거른다.', '2. 껍질 벗긴 감자는 찜기에 넣어 20분 정도 삶고 꺼내서 으깨고, 아몬드는 잘게 다지며, 치커리는 곱게 다진다.', '3. 으깬 감자, 다진 치커리, 시금치 우유소스, 설탕을 넣고 섞어 접시에 담고 아몬드, 크랜베리를 올리고 시금치우유 소스를 곁들인다.']","['감자', '시금치우유 소스', '아몬드', '설탕', '크랜베리', '시금치', '우유']","['80', '5', '2', '2', '3', '10', '10']","['g', 'g', 'g', 'g', 'g', 'g', 'g']"
버섯구이와 두부타르타르 소스,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00091_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00091_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00091_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00091_5.png']","['1. 곱게 다진 양파와 오이피클은 물기를 짠다.', '2. 연두부에 다진 양파, 다진 오이피클, 올리브유, 머스터드, 후추, 꿀, 식초, 레몬즙을 넣어 두부타르타르 소스를 만든다.', '3. 새송이버섯은 0.5cm 두께로 썰고 프라이팬에 노릇하게 구워준 후 접시에 새송이버섯과 치커리를 담고 소스를 곁들인다.']","['새송이버섯', '올리브유', '치커리', '연두부', '다진 양파', '다진 오이피클', '올리브유', '식초', '레몬즙', '머스터드', '꿀']","['70', '10', '10', '30', '10', '10', '2', '5', '3', '3', '2']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
구운채소와 간장레몬 소스,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00093_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_3.png']","['1. 저염간장, 식초, 레몬즙, 설탕을 혼합하여 간장레몬 소스를 만든다.', '2. 호박, 가지, 새송이버섯은 3cm 길이로 자른 후 얇은 편으로 채 썰고, 양파, 파프리카, 피망은 호박 길이로 썬다.', '3. 가지, 호박, 새송이버섯, 양파, 파프리카, 피망에 올리브유를 바르고 달궈진 그릴 팬에 구운 후 접시에 담고 발사믹 크레타를 뿌리고 간장레몬 소스를 곁들인다.']","['가지', '호박', '새송이버섯', '양파', '발사믹크레마', '빨강 파프리카', '노랑 파프리카', '청피망', '저염간장', '식초', '설탕', '레몬즙']","['20', '50', '15', '15', '15', '3', '3', '3', '5', '15', '10', '5']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
브로콜리 컬리플라워 샐러드와 두유 요거트 소스,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00094_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00094_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00094_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00094_5.png']","['1. 두유에 플레인요거트와 레몬즙, 설탕을 넣고 잘 섞어 두유요거트 소스를 만든다.', '2. 강낭콩은 물에 불린 후 콩과 물을 1:2.5로 넣고 20~25분 삶아 건지고 브로콜리와 컬리플라워는 한입 크기로 썰어 끓는 소금물에 살짝 데쳐 찬물에 헹궈 물기를 뺀다.', '3. 접시에 데친 브로콜리와 컬리플라워, 삶은 강낭콩, 채썬 적양파, 다진 호두, 건포도를 담고 두유요거트 소스를 곁들여 낸다.']","['브로콜리', '컬리플라워', '적양파', '강낭콩', '건포도', '호두', '두유', '플레인요거트', '레몬즙']","['40', '40', '10', '5', '5', '12', '50', '20', '5']","['g', 'g', 'g', 'g', '개', '개', 'g', 'g', 'g']"
오렌지와 당근 만남주스,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00108_1.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00108_6.jpg']","['1. 오렌지는 깨끗이 씻어 껍질을 벗긴다.', '2. 당근은 깨끗이 씻어 작은 토막으로 썬다.', '3. 당근, 오렌지, 물(50ml)을 믹서에 곱게 간다.', '4. 믹서에 갈아낸 주스는 고운 체로 거른다.', '5. 주스를 살얼음이 생길 만큼 시원하게 냉동한다.', '6. 컵에 담아 마무리한다.']","['오렌지 당근펀치당근', '오렌지']","['100', '100']","['g', 'g']"
칠곡석류국수,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00111_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_3.png']","['1. 잣, 아몬드, 해바라기씨, 호두, 호박씨는 다진다.', '2. 끓는 물에 저염소금과 식초를 넣은 후 소면을 삶은 후 체에 건져 물기를\n뺀다.', '3. 석류는 물 600g와 함께 믹서에 갈고 체에 걸러 즙을 낸다. 그릇에 면을 담고 차갑게 식힌 석류즙을 붓고 견과류, 채 썬 오이를 고명으로 올린다.']","['소면', '저염소금', '식초', '석류', '잣', '아몬드', '해바라기씨', '호두', '호박씨', '오이']","['160', '4', '8', '200', '4', '4', '4', '4', '4', '20']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
블랙빈 곤약국수,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00113_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00113_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00113_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00113_6.png']","['1. 검은콩을 1시간 찬물에 담가 불린 후 삶아 익힌 후 불순물을 제거하고 흑임자, 생수, 삶은 콩, 호두를 믹서에 갈아 살엄음이 생기도록 냉동실에 넣는다.', '2. 오이는 돌려 깎아 채 썰고, 토마토는 1/8크기로 썰고, 달걀은 삶아 반으로 자른다.', '3. 실곤약은 끓는 물에 데치고 찬물에 헹궈 그릇에 담은 후 콩물을 담고 오이, 토마토, 달걀을 고명으로 올려 완성한다.']","['주재료실곤약', '검은콩', '볶은 흑임자', '호두', '장식오이', '토마토', '달걀']","['440', '70', '6', '6', '20', '50', '50']","['g', 'g', 'g', 'g', 'g', 'g', 'g']"
닭가슴살 브로콜리 만두,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00114_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_4.png']","['1. 브로콜리, 숙주, 표고버섯, 닭 가슴살은 다지고 다진 닭 가슴살은 소금과 후추로 밑간 한다.', '2. 다진 채소와 닭가슴살, 참기름, 저염간장을 섞어 만두소를 만든다.', '3. 준비한 만두피에 만두소를 넣은 후 만두 모양으로 빚고 만두를 찜통에 넣어 찌고 그릇에 담는다.']","['주재료만두피', '브로콜리', '숙주', '표고버섯', '닭 가슴살', '참기름', '저염간장', '소금', '후춧가루']","['4', '100', '100', '20', '100', '2', '4', '05', '01']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
함초 냉이 국수,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00131_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00131_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00131_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00131_5.png']","['1. 함초, 노루궁뎅이버섯, 다시마, 파, 양파, 무를 물에 넣어 10분 끓이고 향이 강한 모시조개와 냉이를 넣고 30분  끓인 후 간장으로 색을 낸다.', '2. 소면은 따로 삶는다.', '3. 그릇에 삶은 소면을 담은 후 육수를 붓고 지단, 슬라이스한 청고추, 실고추를 올려 완성한다.']","['소면', '함초', '노루궁뎅이버섯', '다시마', '파', '양파', '무', '모시조개', '냉이', '간장', '달걀', '청고추', '실고추']","['50', '3', '25', '17', '140', '150', '250', '150', '35', '30', '50', '20', '2']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
된장 두부찌개,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00137_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00137_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00137_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00137_3.png']","['1. 두부에 쌀뜨물을 넣고 갈아준다.', '2. 돼지고기는 썰고 김치는 물에 씻어 양념을 제거하고 3×3cm로 썬다.', '3. 냄비에 돼지고기와 김치를 함께 볶은 후, 망에 거른 된장과 1의 두부, 고춧가루, 청양고추, 홍고추를 넣어 끓이다가 대파를 넣어 완성한다.']","['두부', '쌀뜨물', '돼지고기', '김치', '된장', '청양고추', '홍고추', '대파', '고춧가루']","['320', '300', '100', '140', '20', '10', '5', '10', '5']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
부대된장찌개,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00138_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00138_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00138_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00138_3.png']","['1. 김치, 베이컨, 스팸, 소시지, 양파, 두부, 무는 두께 0.5cm로 썬다.', '2. 다시마와 물을 끓여 다시마물을 만든다.', '3. 냄비에 소시지, 베이컨, 두부, 스팸, 무, 우민찌, 김치, 다시마물 300g을 넣어 끓인 후 저염된장, 양파, 대파, 다진 마늘, 떡국 떡을 넣고 재료가 다 익으면 홍고추와 청양고추를 넣어 완성한다.']","['다시마', '두부', '떡국 떡', '다진 마늘', '무', '김치', '소시지', '우민찌', '양파', '저염된장', '베이컨', '대파', '청양고추', '홍고추']","['1', '10', '10', '5', '20', '15', '10', '5', '5', '15', '5', '5', '5', '1']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
양배추감자전,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00181_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00181_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00181_5.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00181_6.png']","['1. 감자는 믹서에 갈고 양배추는 채 썰고 고기, 당근, 청양고추, 두부는 다진다.', '2. 준비해둔 재료를 모두 섞고 부침가루와 계란을 넣어 반죽한다.', '3. 가열된 팬에 기름을 두르고 반죽을 부어 굽고 소스를 함께 곁들인다.']","['감자', '양배추', '당근', '두부', '돼지고기', '청양고추', '부침가루', '달걀', '식용유', '오렌지즙', '간장', '식초']","['100', '150', '15', '20', '30', '5', '45', '60', '15', '15', '2', '10']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
돌나물 샐러드,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00074_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_5.png']","['1. 청양고추와 홍고추를 다져서 참기름에 살짝 볶은 후 볶은 고추에 마요네즈와 레몬즙을 넣어 소스를 만든다.', '2. 돌나물은 손질하여 찬물에 담구고 새송이버섯은 달군 프라이팬에 참기름을 두르고 노릇\n하게 굽는다.', '3. 돌나물은 물기를 빼고 구운 새송이버섯과 레몬마요네즈 소스를 넣고\n버무려 접시에 담는다.']","['돌나물', '미니새송이버섯', '마요네즈', '레몬즙', '청양고추', '홍고추']","['90', '60', '10', '20', '5', '5']","['g', 'g', 'g', 'g', 'g', 'g']"
석류 보쌈김치,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00159_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00159_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00159_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00159_4.png']","['1. 배추를 소금물에 하루 동안 절인 후 물기를 빼고 석류는 즙을 낸다.', '2. 무는 채 썰고, 쪽파와 미나리는 4cm로 자른다.', '3. 무채, 미나리, 쪽파, 다진 마늘, 다진 생강, 새우젓국을 넣고 섞어 소를 만들고 절인 배추에 소를 넣고 오므려 싼다. 석류즙에 소를 채운 배추를 담가 완성한다.']","['배추', '석류즙', '소금', '무', '미나리', '쪽파', '다진 마늘', '다진 생강', '새우젓국']","['70', '10', '5', '10', '10', '10', '5', '5', '15']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
유자 대구조림,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00161_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00161_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00161_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00161_4.png']","['1. 발사믹 식초, 화이트와인, 다진 유자청 건더기를 넣고 졸여 소스를 만들고 대구를 손질하여 포를 뜬다.', '2. 대파, 청파프리카, 홍파프리카, 황파프리카를 채 썬다.', '3. 대구포에 밀가루를 묻혀 청파프리카, 홍파프리카, 황파프리카, 황금팽이버섯을 넣고 말아 미나리로 묶어 찐 후 소스를 뿌리고 썬 대파를 올려 완성한다.']","['대구살', '홍파프리카', '황파프리카', '청파프리카', '황금팽이버섯', '미나리', '밀가루', '유자청', '발사믹식초', '화이트와인', '대파']","['120', '10', '10', '10', '10', '20', '25', '20', '10', '10', '30']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
파프리카 물김치,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00162_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00162_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00162_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00162_5.png']","['1. 황파프리카를 갈아 체에 내리고 멥쌀로 쌀풀을 만들어 황파프리카 즙을 섞고 물엿을 첨가하여 양념을 만든다.', '2. 배추를 소금물에 절이고 절인 배추를 찬물로 씻어 소금기를 뺀다.', '3. 소금기를 뺀 배추에 채썬 자색고구마, 무, 쪽파, 부추, 사과, 배를 놓고 양념을 부은 후 3일 동안 숙성시켜 완성한다.']","['자색고구마', '무', '배', '배추', '부추', '사과', '쪽파', '소금', '멥쌀', '물엿', '황파프리카']","['10', '10', '80', '200', '10', '80', '10', '20', '10', '50', '140']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
고추장 라따뚜이,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00193_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00193_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00193_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00193_3.png']","['1. 양파와 마늘은 다져서 볶다가 토마토 과육과 설탕, 바질을 넣고 고추장을 섞어 토마토 소스를 만든다.', '2. 가지, 양송이버섯, 애호박, 사과는 썰고 살라미는 데친다.', '3. 오븐용 팬에 토마토 소스를 넓게 펴준 뒤 애호박, 가지, 양송이버섯, 살라미를 겹치게 넣고 180℃로 예열한 오븐에 넣고 30분 구워 완성한다']","['애호박', '양송이버섯', '가지', '저염살라미', '사과', '양파', '마늘', '토마토', '설탕', '바질', '고추장']","['70', '60', '70', '25', '60', '40', '10', '600', '10', '50', '15']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
민들레 샐러드,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00201_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00201_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00201_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00201_4.png']","['1. 간장, 레몬즙, 설탕, 다진 홍고추를 섞어 드레싱을 만든다.', '2. 민들레 잎은 4×4cm로 썰고, 비트는 채 썰고 물에 담가 색을 뺀다.', '3. 오렌지는 씻어 껍질만 발라 채 썰고 민들레 잎, 비트, 오렌지 껍질을 섞어 접시에 담고 드레싱을 곁들인다.']","['민들레 잎', '비트', '간장', '다진 홍고추', '레몬즙', '설탕']","['40', '5', '20', '10', '60', '6']","['g', 'g', 'g', 'g', 'g', 'g']"
토마토 가지 카프레제,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00202_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00202_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00202_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00202_5.png']","['1. 올리브오일, 발사믹식초, 후춧가루를 섞어 차게 식혀 드레싱을 만든다.', '2. 가지와 토마토는 5mm두께로 썰고 120도 오븐에 20분 구운 후 구운 가지는 물기를 제거한다.', '3. 팬에 올리브오일을 두르고 약불에서 채 썬 마늘을 볶다가, 가지를 넣고 구운 후 접시에 토마토, 가지를 번갈아 담고 무순으로 장식하고 드레싱을 곁들인다.']","['가지', '토마토', '무순', '마늘', '올리브오일', '올리브오일', '발사믹식초', '후춧가루']","['100', '200', '20', '10', '5', '25', '60', '2']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
